	Genus	value1	value2	value3	value4
1	Escherichia-Shigella	-0.396078415	1.062983548	-0.491875363	-0.27793879
2	Ruminococcaceae UCG-002	-0.323683271	0.679364537	-0.159528108	-0.204360489
3	Christensenellaceae R-7 group	-0.239464259	0.546494982	-0.182469099	-0.150760806
4	Ruminococcaceae UCG-005	-0.265131887	0.506285201	-0.112471002	-0.129444634
5	Ruminococcaceae UCG-010	-0.212789652	0.488415354	-0.132459322	-0.157345211
6	[Eubacterium] coprostanoligenes group	-0.309706592	0.485411089	0.013670729	-0.144913613
7	Family-XIII AD3011 group	-0.317003715	0.471008821	-0.325661015	0.112972741
8	Ruminococcaceae NK4A214 group	-0.260495554	0.441709273	-0.047938139	-0.114389217
9	Methanobrevibacter	-0.222274963	0.394434045	-0.223815606	0.01143184
10	Hydrogenoanaerobacterium	-0.10692058	0.329625348	-0.16576198	-0.095170817
11	Defluviitaleaceae UCG-011	-0.149888912	0.32415274	-0.143366094	-0.056124635
12	GCA-900066225	-0.161527072	0.319380816	-0.081041671	-0.081204324
13	Ruminococcaceae UCG-014	-0.218885361	0.30862254	-0.12817934	0.027756518
14	Candidatus Soleaferrea	-0.130825877	0.304204094	-0.175853505	-0.035286305
15	Ruminococcaceae V9D2013 group	-0.084815249	0.25322683	-0.093515447	-0.093489652
16	Sanguibacteroides	-0.056012074	0.251292885	-0.112990427	-0.110929341
17	Catabacter	-0.109896912	0.243220119	-0.155722584	-0.011690098
18	Anaerotruncus	-0.039099735	0.233013036	-0.174795796	-0.069009029
19	Akkermansia	-0.086040059	0.232259974	-0.178214284	-0.012301867
20	CAG-352	-0.079446267	0.23172382	-0.04933648	-0.108559816
